Approved Symbol	Synonyms	Chromosome	Entrez Gene ID	Gene Family Name
ABCC9	SUR2, CMD1O	12p12.1	10060	ATP binding cassette subfamily C
ABCC10	EST182763, MRP7, SIMRP7	6p12.3	89845	ATP binding cassette subfamily C
ABCC11	MRP8	16q12	85320	ATP binding cassette subfamily C
ABCC12	MRP9	16q12.1	94160	ATP binding cassette subfamily C
ABCC13	PRED6, C21orf73, ABCC13P	21q11.2	150000	ATP binding cassette subfamily C
ABCD1	AMN, ALDP, adrenoleukodystrophy	Xq28	215	ATP binding cassette subfamily D
ABCD1P1		2p11	23785	
ABCD1P2	bA453N3.6	10p11.1	26983	
ABCD1P3		16p11.2	26982	
ABCD1P4		22q11.1	26957	
ABCD1P5		2p11.1	642762	
ABCD2	ALDR, ALDRP	12q12	225	ATP binding cassette subfamily D
ABCD3	PMP70, ZWS2	1p21.3	5825	ATP binding cassette subfamily D|GOLD domain containing
ABCD4	PMP69, P70R, EST352188	14q24	5826	ATP binding cassette subfamily D
ABCE1	RLI, OABP	4q31	6059	ATP binding cassette subfamily E
ABCF1	EST123147	6p21.33	23	ATP binding cassette subfamily F
ABCF2	EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	10061	ATP binding cassette subfamily F
ABCF2P1		3p11.1	344653	
ABCF2P2		7q11.22	100422059	
ABCF3	EST201864	3q27.1	55324	ATP binding cassette subfamily F
ABCG1	ABC8	21q22.3	9619	ATP binding cassette subfamily G
ABCG2	EST157481, MXR, BCRP, ABCP, CD338	4q22.1	9429	CD molecules|ATP binding cassette subfamily G
ABCG4	WHITE2	11q23	64137	ATP binding cassette subfamily G
ABCG5	STSL	2p21	64240	ATP binding cassette subfamily G
ABCG8	GBD4	2p21	64241	ATP binding cassette subfamily G
ABHD1	LABH1, FLJ36128	2p23.3	84696	Abhydrolase domain containing
ABHD2	LABH2	15q26.1	11057	Abhydrolase domain containing
ABHD3	LABH3	18q11.1	171586	Abhydrolase domain containing
ABHD4	FLJ12816	14q11.1	63874	Abhydrolase domain containing
ABHD5	CGI-58, NCIE2	3p21.33	51099	Abhydrolase domain containing
ABHD6		3p21.2	57406	Abhydrolase domain containing
ABHD8	FLJ11743, MGC14280, MGC2512	19p13.12	79575	Abhydrolase domain containing
ABHD10	FLJ11342	3q13.2	55347	Abhydrolase domain containing
ABHD11	PP1226	7q11.23	83451	Abhydrolase domain containing
ABHD11-AS1	NCRNA00035	7q11.23	171022	Long non-coding RNAs
ABHD12	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	26090	Abhydrolase domain containing
ABHD12B	BEM46L3	14q21.3	145447	Abhydrolase domain containing
ABHD13	bA153I24.2, FLJ14906, BEM46L1	13q33.2	84945	Abhydrolase domain containing
ABHD14A	DKFZP564O243, DORZ1	3p21.1	25864	Abhydrolase domain containing
ABHD14A-ACY1		3p21.2	100526760	
ABHD14B	MGC15429, CIB	3p21.2	84836	Abhydrolase domain containing
ABHD15		17q11.2	116236	Abhydrolase domain containing
ABHD15-AS1	linc-TP53I13, lnc-TP53I13	17q11.2		
ABHD16A	NG26, D6S82E	6p21.3	7920	Abhydrolase domain containing
ABHD16B	dJ591C20.1	20q13.33	140701	Abhydrolase domain containing
ABHD17A	MGC5244	19p13.3	81926	Abhydrolase domain containing
ABHD17AP1	C1orf47	1q21.2	728917	
ABHD17AP3		1q41	648359	
ABHD17AP4		22q11.21	729495	
ABHD17AP5		22q11.22	91219	
ABHD17AP6		17p11.2	644988	
ABHD17AP7		16p11.2	100133212	
ABHD17AP8		16p11.2	647144	
ABHD17AP9		16p11.2	100132251	
ABHD17B	CGI-67	9q21.2	51104	Abhydrolase domain containing
ABHD17C		15q25.1	58489	Abhydrolase domain containing
ABHD18	FLJ21106	4q28.2	80167	
ABI1	E3B1, ABI-1	10p12.1	10006	
ABI1P1		14q22	326268	
ABI2	ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33	10152	
ABI3	NESH, SSH3BP3	17q21.3	51225	
ABI3BP	NESHBP, DKFZP586L2024, TARSH	3q12.2	25890	Fibronectin type III domain containing
ABL1	JTK7, c-ABL, p150	9q34.1	25	SH2 domain containing
ABL2	ARG	1q25.2	27	SH2 domain containing
ABLIM1	abLIM, limatin	10q25	3983	
ABLIM2	KIAA1808	4p16.1	84448	
ABLIM3	KIAA0843	5q33.1	22885	
ABO	A3GALNT, A3GALT1	9q34.2	28	Blood group antigens|Glycosyltransferase family 6
ABR	MDB	17p13	29	Rho guanine nucleotide exchange factors|C2 domain containing|Pleckstrin homology domain containing
ABRA	STARS	8q23.1	137735	
ABRACL	PRO2013, HSPC280, Costars	6q24.1	58527	
ABT1		6p21.31	29777	
ABT1P1		4q23	100420695	
ABTB1	BPOZ, EF1ABP, Btb3, BTBD21	3q21	80325	BTB (POZ) domain containing|Ankyrin repeat domain containing
ABTB2	DKFZP586C1619, BTBD22, ABTB2A	11p13	25841	BTB (POZ) domain containing|Ankyrin repeat domain containing
ACAA1		3p22.2	30	
ACAA2	DSAEC	18q21	10449	
ACACA	ACC1	17q12	31	
ACACB	HACC275, ACC2, ACCB	12q24.1	32	
ACAD8		11q25	27034	Acyl-CoA dehydrogenase family
ACAD9	NPD002, MGC14452	3q21.3	28976	Acyl-CoA dehydrogenase family|Mitochondrial respiratory chain complex assembly factors
ACAD10	MGC5601	12q24.12	80724	Acyl-CoA dehydrogenase family
ACAD11	FLJ12592	3q22.1	84129	Acyl-CoA dehydrogenase family
ACADL	LCAD, ACAD4	2q34	33	Acyl-CoA dehydrogenase family
ACADM	MCAD, MCADH, ACAD1	1p31	34	Acyl-CoA dehydrogenase family
ACADS	SCAD, ACAD3	12q24.31	35	Acyl-CoA dehydrogenase family
ACADSB	SBCAD, ACAD7	10q26.13	36	Acyl-CoA dehydrogenase family
ACADVL	VLCAD, LCACD, ACAD6	17p13.1	37	Acyl-CoA dehydrogenase family
ACAN	CSPGCP	15q26.1	176	Sushi domain containing|Hyalectan proteoglycans|V-set domain containing
ACAP1	KIAA0050	17p13.1	9744	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs
ACAP2	KIAA0041, CNT-B2	3q29	23527	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs
ACAP2-IT1		3q29		
ACAP3	KIAA1716	1p36	116983	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs
ACAT1	THIL	11q22.3	38	
ACAT2		6q25.3	39	
ACBD3	GCP60, PAP7	1q41	64746	A-kinase anchoring proteins
ACBD4	FLJ13322	17q21.31	79777	
ACBD5	DKFZp434A2417, KIAA1996	10p12.1	91452	
ACBD6	MGC2404	1q25.3	84320	Ankyrin repeat domain containing
ACBD7	FLJ38219, bA455B2.2	10p13	414149	
ACCS	PHACS, ACS	11p11	84680	
ACCSL		11p11.2	390110	
ACD	Ptop, Pip1, Tpp1, Tint1	16q22	65057	
ACE	ACE1, CD143	17q23.3	1636	CD molecules
ACE2		Xp22	59272	
ACE3P		17q23.3	100129123	
ACER1		19p13.3	125981	Alkaline ceramidases
ACER2	FLJ41587	9p21.3	340485	Alkaline ceramidases
ACER3	FLJ11238, APHC	11q13.5	55331	Alkaline ceramidases
ACHE		7q22	43	Blood group antigens
ACIN1	KIAA0670, fSAP152	14q11.2	22985	
ACKR1	CCBP1, GPD, Dfy, CD234	1q21-q22	2532	Blood group antigens|CD molecules|Atypical chemokine receptors
ACKR2	CCR10, D6, CCR9	3p21.3	1238	Atypical chemokine receptors
ACKR3	RDC1, GPR159	2q37.3	57007	Atypical chemokine receptors
ACKR4	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22	51554	Atypical chemokine receptors
ACLS		12p13.3-p11.2	46	
ACLY	ATPCL, CLATP, ACL	17q21.2	47	
ACMSD		2q21.3	130013	
ACO1	IRP1, IREBP	9p21.1	48	
ACO2	ACONM	22q13.2	50	
ACOT1	ACH2, CTE-1, LACH2	14q24.3	641371	Acyl-CoA thioesterases
ACOT2	Mte1, ZAP128	14q24.3	10965	Acyl-CoA thioesterases
ACOT4	FLJ31235, PTE-Ib, PTE2B	14q24.1	122970	Acyl-CoA thioesterases
ACOT6		14q24.3	641372	Acyl-CoA thioesterases
ACOT7	BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36	11332	Acyl-CoA thioesterases
ACOT8	hACTE-III, hTE, PTE-2, NAP1	20q13.12	10005	Acyl-CoA thioesterases
ACOT9	CGI-16, MT-ACT48, ACATE2	Xp22.11	23597	Acyl-CoA thioesterases
ACOT11	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3	26027	Acyl-CoA thioesterases|StAR-related lipid transfer domain containing
ACOT12	Cach, THEAL, STARD15	5q14.1	134526	Acyl-CoA thioesterases|StAR-related lipid transfer domain containing
ACOT13	HT012	6p22.1	55856	Acyl-CoA thioesterases
ACOX1	PALMCOX	17q25.1	51	
ACOX2	BRCACOX, BRCOX, THCCox	3p14.3	8309	
ACOX3		4p15.3	8310	
ACOXL	FLJ11042	2q13	55289	
ACP1	HAAP, LMW-PTP	2p25	52	Acid phosphatases|Class II Cys-based phosphatases
ACP2	LAP	11p11.2	53	Acid phosphatases
ACP5	TRAP, HPAP	19p13.2	54	Acid phosphatases
ACP6	LPAP, ACPL1	1q21	51205	Acid phosphatases
ACP7	FLJ16165, PAPL1	19q13.2	390928	
ACPP	ACP3, ACP-3, PAP	3q22.1	55	Acid phosphatases
ACPT		19q13.33	93650	Acid phosphatases
ACR		22q13.33	49	
ACRBP	SP32, OY-TES-1, CT23	12p13.31	84519	
ACRC		Xq13.1	93953	
ACRV1	SPACA2, SP-10, D11S4365	11q24.2	56	
ACSBG1	BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	15q23-q24	23205	Acyl-CoA synthetase family
ACSBG2	BGR, PRTD-NY3, DKFZp434K1635	19p13.3	81616	Acyl-CoA synthetase family
ACSF2	FLJ20920, ACSMW	17q21.33	80221	Acyl-CoA synthetase family
ACSF3		16q24.3	197322	Acyl-CoA synthetase family
ACSL1	LACS2, LACS, ACS1, LACS1, FACL1	4q35.1	2180	Acyl-CoA synthetase family
ACSL3	ACS3, PRO2194	2q34-q35	2181	Acyl-CoA synthetase family
ACSL4	ACS4, LACS4	Xq22.3-q23	2182	X-linked mental retardation|Acyl-CoA synthetase family
ACSL5	ACS5, ACS2	10q25.2	51703	Acyl-CoA synthetase family
ACSL6	KIAA0837, ACS2, LACS5, LACS2	5q31	23305	Acyl-CoA synthetase family
ACSM1	MACS1	16p12.3	116285	Acyl-CoA synthetase family
ACSM2A	A-923A4.1, MGC150530	16p12.3	123876	Acyl-CoA synthetase family
ACSM2B	HXMA, HYST1046	16p12.3	348158	Acyl-CoA synthetase family
ACSM3	SA	16p13.11	6296	Acyl-CoA synthetase family
ACSM4		12p13.31	341392	Acyl-CoA synthetase family
ACSM5	FLJ20581	16p12.3	54988	Acyl-CoA synthetase family
ACSM5P1		16p12.3	100421779	
ACSM6	bA310E22.3	10q23.33	142827	
ACSS1	dJ568C11.3, AceCS2L, MGC33843	20p11.21	84532	Acyl-CoA synthetase family
ACSS2	ACS, ACSA, AceCS, dJ1161H23.1	20q11.22	55902	Acyl-CoA synthetase family
ACSS3	FLJ21963	12q21.31	79611	Acyl-CoA synthetase family
ACTA1	NEM3	1q42.13	58	Actins
ACTA2	ACTSA	10q23.31	59	Actins
ACTA2-AS1	uc001kfo.1, ZXF1	10q23.31	100132116	
ACTB		7p22	60	Actins
ACTBL2	DKFZp686D0972	5q11.2	345651	
ACTBP1		Xp11.3	643309	
ACTBP2		5q14.1	62	
ACTBP3		18q21.33	63	
ACTBP4		5q23.3	64	
ACTBP6		8q21.2	66	
ACTBP7		15q15.3	67	
ACTBP8	ACTBP2	6q15	68	
ACTBP9		18q21.33	69	
ACTBP10		14q11.2	446207	
ACTBP11		1q41	644220	
ACTBP12		1p22.1	100462767	
ACTBP13		3p21.31	389120	
ACTBP14		10q22.1	389976	
ACTC1	CMD1R	15q14	70	Actins
ACTG1		17q25.3	71	Actins
ACTG1P1		3q23	73	
ACTG1P2		Yq11.222	74	
ACTG1P3		20p13	75	
ACTG1P4		1p21	648740	
ACTG1P6		1p21	78	
ACTG1P7		1p21	79	
ACTG1P8		1p21	80	
ACTG1P9		6p12.3	82	
ACTG1P10		Xp11.22	83	
ACTG1P11		Yq11.222	414754	
ACTG1P12		3p25.2	100418921	
ACTG1P13		3q12.1	100418920	
ACTG1P14		9p24.1	100418910	
ACTG1P15		15q14	100418951	
ACTG1P16		16q12.1	100418960	
ACTG1P17		15q25.2	283693	
ACTG1P18		6q16.3	100418924	
ACTG1P19		9q31.1	644160	
ACTG1P20		1p36.11	644961	
ACTG1P21		1p31.1	100131291	
ACTG1P22		2p16.1	100131953	
ACTG1P23		3q26.31	442097	
ACTG1P24		17p11.2	441783	
ACTG2	ACTSG	2p13.1	72	Actins
ACTL6A	Actl6, BAF53A, Arp4, Baf53a, INO80K	3q26.33	86	INO80 complex 
ACTL6B	BAF53B	7q22	51412	
ACTL7A		9q31	10881	
ACTL7B	Tact1	9q31	10880	
ACTL8	CT57	1p36.13	81569	
ACTL9	MGC33407	19p13.2	284382	
ACTL10		20q11.22	170487	
ACTN1		14q24.1	87	Actinins
ACTN1-AS1		14q24.1	161159	
ACTN2		1q42-q43	88	Actinins
ACTN3		11q13.2	89	Actinins
ACTN4		19q13	81	Actinins
ACTN4P1		4q26	344978	
ACTN4P2		1p34.3	391026	
ACTP1		2q12.3		
ACTR1A	ARP1, Arp1A	10q24	10121	
ACTR1B	Arp1B	2q11.2	10120	
ACTR2	ARP2	2p14	10097	Actin related protein 2/3 complex 
ACTR3	ARP3	2q14.1	10096	Actin related protein 2/3 complex 
ACTR3B	ARP11, ARP3beta	7q36.1	57180	
ACTR3BP1		Yq11.21	643050	
ACTR3BP2	FKSG73	2p11.1	440888	
ACTR3BP3		16p11.2	647156	
ACTR3BP4		4q24	777774	
ACTR3BP5		10p11.1	399746	
ACTR3BP6		22q11.1	644773	
ACTR3C	ARP11	7q36.1	653857	
ACTR3P1		14q11.2	100288580	
ACTR3P2		Xq13.1	100129013	
ACTR3P3		3q12.2	100128020	
ACTR5	FLJ12785, Arp5, INO80M	20q12	79913	INO80 complex 
ACTR6	ARP6, FLJ13433	12q23.1	64431	
ACTR6P1		4q25	100421495	
ACTR8	INO80N	3p21.31	93973	INO80 complex 
ACTR10	HARP11, ACTR11, Arp11, Arp10	14q23.1	55860	
ACTRT1	AIP1, KIAA0705, ARIP1, Arp-T1	Xq25	139741	
ACTRT2	Arp-T2, ARPM2, FLJ25424	1p36.3	140625	
ACTRT3	ARPM1	3q26.2	84517	
ACVR1	SKR1, ALK2, ACVR1A	2q23-q24	90	Type I receptor serine/threonine kinases
ACVR1B	ALK4, SKR2, ActRIB	12q13	91	Type I receptor serine/threonine kinases
ACVR1C	ALK7, ACVRLK7	2q24.2	130399	Type I receptor serine/threonine kinases
ACVR2A	ACTRII	2q22.2-q23.3	92	Type II receptor serine/threonine kinases
ACVR2B	ActR-IIB	3p22	93	Type II receptor serine/threonine kinases
ACVR2B-AS1		3p22.2	100128640	
ACVRL1	HHT2, ALK1, HHT	12q13.13	94	Type I receptor serine/threonine kinases
ACY1		3p21.2	95	
ACY3	HCBP1, MGC9740, ACY-3	11q13.2	91703	
ACYP1		14q24.3	97	
ACYP2		2p16.2	98	
AD5		12p11.23-q13.12		
ADA		20q13.12	100	
ADAD1	Tenr	4q27	132612	
ADAD1P1		3p22.2	100422386	
ADAD1P2		18q21.1	100422407	
ADAD2	TENRL, FLJ00337	16q24.1	161931	
ADAL		15q15.3	161823	
ADAM1A	FTNAP, PH-30a, Ftna, ADAM1P	12q24.13	8759	ADAM metallopeptidase domain containing
ADAM1B		12q24.13	100420505	ADAM metallopeptidase domain containing
ADAM2	PH-30b, PH30, CT15	8p11.2	2515	ADAM metallopeptidase domain containing
ADAM3A	ADAM3, tMDCI	8p11.22	1587	ADAM metallopeptidase domain containing
ADAM3B		16q12.1	1596	ADAM metallopeptidase domain containing
ADAM5	tMDCII	8p11.23	255926	ADAM metallopeptidase domain containing
ADAM6	tMDCIV	14q32.33	8755	ADAM metallopeptidase domain containing
ADAM7	GP-83, EAPI	8p21.2	8756	ADAM metallopeptidase domain containing
ADAM8	CD156, MS2, CD156a	10q26.3	101	ADAM metallopeptidase domain containing|CD molecules
ADAM9	MDC9, KIAA0021, MCMP, Mltng	8p11.23	8754	ADAM metallopeptidase domain containing
ADAM10	kuz, MADM, HsT18717, CD156c	15q2	102	ADAM metallopeptidase domain containing|CD molecules
ADAM11		17q21.3	4185	ADAM metallopeptidase domain containing
ADAM12	MCMPMltna, MLTN	10q26	8038	ADAM metallopeptidase domain containing
ADAM15	MDC15	1q21.3	8751	ADAM metallopeptidase domain containing
ADAM17	cSVP, CD156B	2p25	6868	ADAM metallopeptidase domain containing|CD molecules
ADAM18	tMDCIII, ADAM27	8p11.22	8749	ADAM metallopeptidase domain containing
ADAM19	MLTNB	5q33.3	8728	ADAM metallopeptidase domain containing
ADAM20		14q24.2	8748	ADAM metallopeptidase domain containing
ADAM20P1		14q24.2	317760	
ADAM20P2		4q34.2	100533671	
ADAM20P3		4q35.2	644325	
ADAM21	ADAM31	14q24.2	8747	ADAM metallopeptidase domain containing
ADAM21P1		14q24.2	145241	
ADAM22	MDC2	7q21	53616	ADAM metallopeptidase domain containing
ADAM23	MDC3	2q33	8745	ADAM metallopeptidase domain containing
ADAM24P		8p22	646479	ADAM metallopeptidase domain containing
ADAM28	eMDCII, MDC-Lm, MDC-Ls, ADAM23	8p21.2	10863	ADAM metallopeptidase domain containing
ADAM29	svph1, CT73	4q34.1	11086	ADAM metallopeptidase domain containing
ADAM30	svph4	1p12	11085	ADAM metallopeptidase domain containing
ADAM32		8p11.22	203102	ADAM metallopeptidase domain containing
ADAM33	DKFZp434K0521, dJ964F7.1	20p13	80332	ADAM metallopeptidase domain containing
ADAMDEC1	M12.219	8p12	27299	
ADAMTS1	C3-C5, METH1, KIAA1346	21q21.3	9510	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS2	ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	5q35.3	9509	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS3	KIAA0366, ADAMTS-4	4q21	9508	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS4	KIAA0688, ADAMTS-2, ADMP-1	1q31-q32	9507	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS5	ADMP-2, ADAMTS11	21q21.3	11096	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS6	ADAM-TS6	5q13	11174	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS7	ADAM-TS7, DKFZp434H204	15q25.1	11173	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS7P1		15q25.2	390660	
ADAMTS7P3		15q24.3	400406	
ADAMTS7P4		15q25.3	642935	
ADAMTS8	METH2, FLJ41712, ADAM-TS8	11q25	11095	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS9	KIAA1312	3p14.1	56999	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS9-AS1		3p14.1	101929335	
ADAMTS9-AS2		3p14.1	100507098	
ADAMTS10	ADAM-TS10	19p13.2	81794	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS12		5q35	81792	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS13	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	9q34	11093	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS14		10q21	140766	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS15		11q25	170689	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS16	ADAMTS16s	5p15	170690	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS17	FLJ32769, FLJ16363	15q24	170691	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS18		16q23	170692	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS19		5q23.3	171019	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS19-AS1	RP11-346A9.1	5q23.3		
ADAMTS20	GON-1	12q12	80070	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTSL1	ADAMTSR1, FLJ35283	9p21.3	92949	I-set domain containing|ADAMTS-like
ADAMTSL2	KIAA0605	9q34.3	9719	ADAMTS-like
ADAMTSL3	KIAA1233, punctin-2	15q25.2	57188	I-set domain containing|Immunoglobulin-like domain containing|ADAMTS-like
ADAMTSL4	DKFZP434K1772	1q21.2	54507	ADAMTS-like
ADAMTSL4-AS1	FLJ45786	1q21.2		
ADAMTSL5		19p13.3	339366	ADAMTS-like
ADAP1	GCS1L	7p22.3	11033	Pleckstrin homology domain containing|ArfGAPs
ADAP2		17q11.2	55803	Pleckstrin homology domain containing|ArfGAPs
ADAR	ADAR1	1q21.3	103	
ADARB1	ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	21q22.3	104	
ADARB2	RED2, hRED2, ADAR3	10p15.3	105	
ADARB2-AS1	bA466B20.1	10p15.3	642394	
ADAT1		16q23	23536	
ADAT2	dJ20N2.1, TAD2	6q24.2	134637	
ADAT3	TAD3	19p13.3	113179	
ADCK1	FLJ39600	14q24.3	57143	
ADCK2	MGC20727	7q34	90956	
ADCK3	COQ8, SCAR9	1q42.11	56997	
ADCK4	FLJ12229, COQ8	19q13.2	79934	
ADCK5	FLJ35454	8q24.3	203054	
ADCP1		6	106	
ADCY1	AC1	7p12.3	107	Adenylate cyclases
ADCY2	HBAC2, KIAA1060, AC2	5p15.3	108	Adenylate cyclases
ADCY3	AC3	2p23.3	109	Adenylate cyclases
ADCY4	AC4	14q11.2	196883	Adenylate cyclases
ADCY5	AC5	3q21.1	111	Adenylate cyclases
ADCY6	AC6	12q13.12	112	Adenylate cyclases
ADCY7	KIAA0037, AC7	16q12.1	113	Adenylate cyclases
ADCY8	HBAC1, AC8	8q24	114	Adenylate cyclases
ADCY9	AC9	16p13.3	115	Adenylate cyclases
